ID,sentence_length,uppercase_number,punctuation_number,digital_number,result
0,99,7,2,0,1
1,185,10,2,1,1
2,109,6,2,0,0
3,75,5,1,10,1
4,68,8,2,0,1
5,206,14,6,6,0
6,46,3,1,0,0
7,97,5,2,0,1
8,167,8,5,0,1
9,61,6,1,0,0
10,121,6,3,4,1
11,105,11,3,3,1
12,34,3,3,0,1
13,130,10,5,0,0
14,55,6,2,0,1
15,60,5,1,0,0
16,56,3,1,0,0
17,218,29,10,9,0
18,200,4,5,5,0
19,141,4,1,0,1
20,73,8,4,0,1
21,34,22,2,0,0
22,77,43,5,6,1
23,128,15,15,27,0
24,186,13,3,1,1
25,120,7,3,0,1
26,107,4,1,0,1
27,94,4,2,0,1
28,186,10,1,0,1
29,56,7,2,0,1
30,181,11,3,6,1
31,60,4,2,2,1
32,129,3,3,4,0
33,153,12,6,11,1
34,130,9,5,9,1
35,70,5,1,0,1
36,140,9,4,0,0
37,75,2,1,0,1
38,189,6,14,1,0
39,64,3,3,1,1
40,99,6,1,0,1
41,71,4,1,2,0
42,52,29,3,0,0
43,165,7,1,0,1
44,96,3,1,0,1
45,30,4,1,0,1
46,140,5,1,0,1
47,60,4,1,0,1
48,83,5,2,0,0
49,75,11,2,0,1
50,128,6,8,0,1
51,96,12,3,0,1
52,78,8,3,0,1
53,55,5,2,0,1
54,42,5,1,0,1
55,136,7,2,0,0
56,30,2,1,0,1
57,27,4,2,0,1
58,57,5,2,0,1
59,118,5,6,0,1
60,50,5,1,0,0
61,45,4,2,0,1
62,103,20,4,22,1
63,117,8,3,0,1
64,53,4,1,0,1
65,167,13,5,14,1
66,90,3,2,0,1
67,109,60,13,25,0
68,129,2,2,0,1
69,64,4,1,0,1
70,55,2,1,0,1
71,116,6,3,0,1
72,133,3,6,10,1
73,112,7,1,6,0
74,175,6,1,0,1
75,126,8,3,10,1
76,143,4,1,0,1
77,47,4,1,0,1
78,86,8,8,12,0
79,169,7,2,0,1
80,87,3,2,0,0
81,141,2,3,0,1
82,142,5,3,0,1
83,71,4,2,0,0
84,52,5,2,0,1
85,44,2,1,0,0
86,95,5,2,0,1
87,79,3,1,0,1
88,84,2,2,4,1
89,65,8,3,0,0
90,93,4,3,0,1
91,81,7,3,0,0
92,56,8,4,0,1
93,41,6,4,0,0
94,78,5,2,0,1
95,64,3,2,0,1
96,33,2,1,0,1
